Conditions,Mean_v(micron.min-1),Explant_ID,Explant_position
Uncompressed,0.476,2,Pos002
Uncompressed,0.308,2,Pos002
Uncompressed,0.255,2,Pos002
Uncompressed,0.576,2,Pos002
Uncompressed,0.448,2,Pos002
Uncompressed,0.656,2,Pos002
Uncompressed,0.573,2,Pos002
Uncompressed,0.554,2,Pos002
Uncompressed,0.558,2,Pos002
Uncompressed,0.651,2,Pos002
Uncompressed,0.602,2,Pos002
Uncompressed,0.809,2,Pos002
Uncompressed,0.455,2,Pos002
Uncompressed,0.649,2,Pos002
Uncompressed,0.423,2,Pos002
Uncompressed,0.515,2,Pos002
Uncompressed,0.596,2,Pos002
Uncompressed,0.857,2,Pos002
Uncompressed,0.675,3,Pos003
Uncompressed,0.54,3,Pos003
Uncompressed,0.786,3,Pos003
Uncompressed,0.607,3,Pos003
Uncompressed,0.617,3,Pos003
Uncompressed,1.055,3,Pos003
Uncompressed,0.575,3,Pos003
Uncompressed,0.708,3,Pos003
Uncompressed,0.885,3,Pos003
Uncompressed,0.64,3,Pos003
Uncompressed,0.724,3,Pos003
Uncompressed,0.653,3,Pos003
Uncompressed,0.612,3,Pos003
Uncompressed,0.533,3,Pos003
Uncompressed,0.43,3,Pos003
Uncompressed,0.996,3,Pos003
Uncompressed,0.608,3,Pos003
Uncompressed,0.518,3,Pos003
Uncompressed,0.453,3,Pos003
Uncompressed,0.367,3,Pos003
Uncompressed,0.673,3,Pos003
Uncompressed,0.542,4,Pos004
Uncompressed,0.593,4,Pos004
Uncompressed,0.561,4,Pos004
Uncompressed,0.519,4,Pos004
Uncompressed,0.761,4,Pos004
Uncompressed,0.701,4,Pos004
Uncompressed,0.664,4,Pos004
Uncompressed,0.596,4,Pos004
Uncompressed,0.521,4,Pos004
Uncompressed,0.357,4,Pos004
Uncompressed,0.578,4,Pos004
Uncompressed,0.526,4,Pos004
Uncompressed,0.534,4,Pos004
Uncompressed,0.522,4,Pos004
Uncompressed,0.419,4,Pos004
Uncompressed,0.677,4,Pos004
Uncompressed,0.808,4,Pos004
Uncompressed,0.659,4,Pos004
Uncompressed,0.675,4,Pos004
Uncompressed,0.428,4,Pos004
Compressed,0.73,12,Pos012
Compressed,0.66,12,Pos012
Compressed,0.876,12,Pos012
Compressed,0.255,12,Pos012
Compressed,0.511,12,Pos012
Compressed,0.215,12,Pos012
Compressed,0.354,12,Pos012
Compressed,0.491,12,Pos012
Compressed,0.472,12,Pos012
Compressed,0.477,12,Pos012
Compressed,0.585,12,Pos012
Compressed,0.424,12,Pos012
Compressed,0.556,12,Pos012
Compressed,0.58,12,Pos012
Compressed,0.798,12,Pos012
Compressed,0.687,12,Pos012
Compressed,0.447,12,Pos012
Compressed,0.387,12,Pos012
Compressed,0.241,12,Pos012
Compressed,0.69,12,Pos012
Compressed,0.61,12,Pos012
Compressed,0.349,12,Pos012
Compressed,0.652,12,Pos012
Compressed,0.697,12,Pos012
Compressed,0.636,12,Pos012
Compressed,0.328,13,Pos013
Compressed,0.351,13,Pos013
Compressed,0.392,13,Pos013
Compressed,0.686,13,Pos013
Compressed,0.455,13,Pos013
Compressed,0.295,13,Pos013
Compressed,0.496,13,Pos013
Compressed,0.472,13,Pos013
Compressed,0.372,13,Pos013
Compressed,0.844,13,Pos013
Compressed,0.495,13,Pos013
Compressed,0.641,13,Pos013
Compressed,0.611,13,Pos013
Compressed,0.782,13,Pos013
Compressed,0.546,13,Pos013
Compressed,0.71,13,Pos013
Compressed,0.665,13,Pos013
Compressed,0.612,13,Pos013
Compressed,0.686,13,Pos013
Compressed,0.631,13,Pos013
Compressed,0.656,13,Pos013
Compressed,0.651,14,Pos014
Compressed,0.44,14,Pos014
Compressed,0.604,14,Pos014
Compressed,0.627,14,Pos014
Compressed,0.64,14,Pos014
Compressed,0.54,14,Pos014
Compressed,0.516,14,Pos014
Compressed,0.712,14,Pos014
Compressed,0.938,14,Pos014
Compressed,1.043,14,Pos014
Compressed,0.271,14,Pos014
Compressed,0.73,14,Pos014
Compressed,0.382,15,Pos014
Compressed,0.437,15,Pos014